date,nav
2011-10-27,1000.0
2011-10-28,1000.0
2011-10-30,1000.0
2011-10-31,1000.0
2011-11-01,1000.0
2011-11-02,1000.0
2011-11-03,1000.0
2011-11-04,1000.0
2011-11-07,1000.0
2011-11-08,1000.0
2011-11-09,1000.0
2011-11-10,1000.0
2011-11-11,1000.0
2011-11-13,1000.0
2011-11-14,1000.0
2011-11-15,1000.0
2011-11-16,1000.0
2011-11-17,1000.0
2011-11-18,1000.0
2011-11-20,1000.0
2011-11-21,1000.0
2011-11-22,1000.0
2011-11-23,1000.0
2011-11-24,1000.0
2011-11-25,1000.0
2011-11-27,1000.0
2011-11-28,1000.0
2011-11-29,1000.0
2011-11-30,1000.0
2011-12-01,1000.0
2011-12-02,1000.0
2011-12-04,1000.0
2011-12-05,1000.0
2011-12-06,1000.0
2011-12-07,1000.0
2011-12-08,1000.0
2011-12-09,1000.0
2011-12-11,1000.0
2011-12-12,1000.0
2011-12-13,1000.0
2011-12-14,1000.0
2011-12-15,1000.0
2011-12-16,1000.0
2011-12-18,1000.0
2011-12-19,1000.0
2011-12-20,1000.0
2011-12-21,1000.0
2011-12-22,1000.0
2011-12-23,1000.0
2011-12-25,1000.0
2011-12-26,1000.0
2011-12-27,1000.0
2011-12-28,1000.0
2011-12-29,1000.0
2011-12-30,1000.0
2012-01-01,1000.0
2012-01-02,1000.0
2012-01-03,1000.0
2012-01-04,1000.0
2012-01-05,1000.0
2012-01-06,1000.0
2012-01-08,1000.0
2012-01-09,1000.0
2012-01-10,1000.0
2012-01-11,1000.0
2012-01-12,1000.0
2012-01-13,1000.0
2012-01-15,1000.0
2012-01-16,1000.0
2012-01-17,1000.0
2012-01-18,1000.0
2012-01-19,1000.0
2012-01-20,1000.0
2012-01-22,1000.0
2012-01-23,1000.0
2012-01-24,1000.0
2012-01-25,1000.0
2012-01-26,1000.0
2012-01-27,1000.0
2012-01-29,1000.0
2012-01-30,1000.0
2012-01-31,1000.0
2012-02-01,1000.0
2012-02-02,1000.0
2012-02-03,1000.0
2012-02-05,1000.0
2012-02-06,1000.0
2012-02-07,1000.0
2012-02-08,1000.0
2012-02-09,1000.0
2012-02-10,1000.0
2012-02-12,1000.0
2012-02-13,1000.0
2012-02-14,1000.0
2012-02-15,1000.0
2012-02-16,1000.0
2012-02-17,1000.0
2012-02-20,1000.0
2012-02-21,1000.0
2012-02-22,1000.0
2012-02-23,1000.0
2012-02-24,1000.0
2012-02-26,1000.0
2012-02-27,1000.0
2012-02-28,1000.0
2012-02-29,1000.0
2012-03-01,1000.0
2012-03-02,1000.0
2012-03-04,1000.0
2012-03-05,1000.0
2012-03-06,1000.0
2012-03-07,1000.0
2012-03-08,1000.0
2012-03-09,1000.0
2012-03-11,1000.0
2012-03-12,1000.0
2012-03-13,1000.0
2012-03-14,1000.0
2012-03-15,1000.0
2012-03-16,1000.0
2012-03-18,1000.0
2012-03-19,1000.0
2012-03-20,1000.0
2012-03-21,1000.0
2012-03-22,1000.0
2012-03-25,1000.0
2012-03-26,1000.0
2012-03-27,1000.0
2012-03-28,1000.0
2012-03-29,1000.0
2012-03-30,1000.0
2012-04-01,1000.0
2012-04-02,1000.0
2012-04-03,1000.0
2012-04-04,1000.0
2012-04-08,1000.0
2012-04-09,1000.0
2012-04-10,1000.0
2012-04-11,1000.0
2012-04-12,1000.0
2012-04-13,1000.0
2012-04-15,1000.0
2012-04-16,1000.0
2012-04-17,1000.0
2012-04-18,1000.0
2012-04-19,1000.0
2012-04-20,1000.0
2012-04-22,1000.0
2012-04-23,1000.0
2012-04-24,1000.0
2012-04-25,1000.0
2012-04-26,1000.0
2012-04-27,1000.0
2012-04-29,1000.0
2012-04-30,1000.0
2012-05-01,1000.0
2012-05-02,1000.0
2012-05-03,1000.0
2012-05-04,1000.0
2012-05-06,1000.0
2012-05-07,1000.0
2012-05-08,1000.0
2012-05-09,1000.0
2012-05-10,1000.0
2012-05-11,1000.0
2012-05-13,1000.0
2012-05-14,1000.0
2012-05-15,1000.0
2012-05-16,1000.0
2012-05-17,1000.0
2012-05-18,1000.0
2012-05-20,1000.0
2012-05-21,1000.0
2012-05-22,1000.0
2012-05-23,1000.0
2012-05-24,1000.0
2012-05-25,1000.0
2012-05-27,1000.0
2012-05-28,1000.0
2012-05-29,1000.0
